iter	Passed	Remaining
0	69	20878
1	81	12164
2	92	9118
3	102	7616
4	114	6730
5	125	6145
6	137	5773
7	148	5432
8	160	5188
9	171	4982
10	185	4868
11	203	4889
12	217	4812
13	231	4734
14	244	4651
15	256	4547
16	266	4442
17	278	4358
18	289	4276
19	300	4208
20	311	4140
21	323	4087
22	334	4024
23	344	3964
24	354	3903
25	365	3850
26	376	3803
27	386	3753
28	397	3713
29	408	3676
30	419	3637
31	430	3601
32	440	3567
33	453	3545
34	465	3523
35	478	3511
36	491	3496
37	502	3466
38	513	3438
39	524	3411
40	535	3384
41	546	3357
42	556	3327
43	569	3313
44	579	3283
45	591	3266
46	604	3255
47	617	3240
48	629	3225
49	643	3217
50	656	3206
51	671	3202
52	687	3201
53	700	3192
54	714	3181
55	727	3169
56	739	3150
57	752	3139
58	766	3132
59	780	3123
60	792	3103
61	802	3081
62	814	3064
63	825	3043
64	837	3026
65	848	3009
66	860	2992
67	873	2978
68	882	2955
69	894	2939
70	906	2923
71	918	2907
72	932	2898
73	942	2879
74	953	2861
75	964	2842
76	975	2825
77	986	2807
78	998	2794
79	1011	2781
80	1024	2770
81	1038	2760
82	1054	2756
83	1069	2749
84	1081	2735
85	1094	2723
86	1105	2707
87	1118	2694
88	1131	2683
89	1147	2676
90	1159	2663
91	1172	2649
92	1183	2633
93	1197	2623
94	1209	2610
95	1222	2597
96	1235	2584
97	1246	2568
98	1257	2552
99	1271	2542
100	1286	2533
101	1298	2520
102	1309	2504
103	1319	2487
104	1331	2472
105	1341	2455
106	1352	2440
107	1364	2425
108	1373	2407
109	1384	2391
110	1395	2376
111	1409	2365
112	1421	2351
113	1430	2334
114	1444	2323
115	1455	2309
116	1467	2295
117	1480	2284
118	1495	2274
119	1508	2262
120	1520	2249
121	1532	2236
122	1548	2228
123	1561	2216
124	1574	2204
125	1587	2192
126	1601	2181
127	1614	2169
128	1628	2158
129	1642	2147
130	1654	2134
131	1668	2123
132	1680	2110
133	1694	2099
134	1704	2083
135	1715	2068
136	1726	2054
137	1737	2039
138	1749	2026
139	1761	2012
140	1771	1997
141	1781	1982
142	1791	1967
143	1803	1953
144	1815	1940
145	1827	1927
146	1838	1914
147	1849	1899
148	1860	1885
149	1871	1871
150	1882	1857
151	1892	1842
152	1903	1829
153	1914	1814
154	1924	1800
155	1935	1786
156	1945	1771
157	1955	1757
158	1966	1743
159	1976	1729
160	1986	1715
161	1997	1701
162	2008	1688
163	2018	1674
164	2028	1659
165	2039	1646
166	2050	1632
167	2061	1619
168	2071	1605
169	2082	1592
170	2093	1579
171	2103	1565
172	2114	1552
173	2124	1538
174	2135	1525
175	2146	1512
176	2157	1499
177	2167	1485
178	2178	1472
179	2188	1459
180	2200	1446
181	2210	1433
182	2220	1419
183	2230	1406
184	2242	1393
185	2252	1380
186	2262	1367
187	2273	1354
188	2284	1341
189	2295	1328
190	2305	1315
191	2317	1303
192	2330	1291
193	2343	1280
194	2356	1268
195	2368	1256
196	2382	1245
197	2397	1235
198	2412	1224
199	2427	1213
200	2440	1201
201	2453	1190
202	2467	1178
203	2480	1167
204	2495	1156
205	2509	1145
206	2520	1132
207	2531	1119
208	2541	1106
209	2552	1093
210	2564	1081
211	2575	1069
212	2586	1056
213	2597	1043
214	2608	1031
215	2619	1018
216	2629	1005
217	2640	993
218	2651	980
219	2661	967
220	2672	955
221	2683	942
222	2695	930
223	2706	918
224	2716	905
225	2728	893
226	2744	882
227	2759	871
228	2772	859
229	2783	847
230	2793	834
231	2804	822
232	2816	809
233	2826	797
234	2838	785
235	2850	773
236	2862	761
237	2874	748
238	2885	736
239	2896	724
240	2907	711
241	2918	699
242	2928	687
243	2938	674
244	2948	661
245	2959	649
246	2970	637
247	2981	625
248	2992	612
249	3002	600
250	3013	588
251	3023	575
252	3033	563
253	3048	552
254	3059	539
255	3069	527
256	3086	516
257	3097	504
258	3108	492
259	3118	479
260	3129	467
261	3138	455
262	3148	443
263	3159	430
264	3169	418
265	3180	406
266	3190	394
267	3202	382
268	3213	370
269	3224	358
270	3234	346
271	3245	334
272	3256	322
273	3267	310
274	3279	298
275	3288	285
276	3298	273
277	3309	261
278	3320	249
279	3330	237
280	3339	225
281	3350	213
282	3360	201
283	3370	189
284	3383	178
285	3393	166
286	3404	154
287	3414	142
288	3425	130
289	3436	118
290	3446	106
291	3457	94
292	3467	82
293	3478	70
294	3488	59
295	3498	47
296	3509	35
297	3519	23
298	3530	11
299	3542	0
